Subsetor,Código
Holdings Diversificadas,SIMH
Outros Títulos,CTBA
Outros Títulos,MCRJ
Outros Títulos,PMSP
SUBSETOR,CÓDIGO
Outros,QVQP
Outros,BETP
Outros,MAPT
Outros,FICT
Outros,OPGM
Outros,FIGE
Outros,PPAR
Outros,PRPT
Outros,OPSE
Outros,OPTS
