"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.06.2025","3.444,94","3.461,95","3.468,59","3.444,81","","-0,49%"
"30.05.2025","3.461,93","3.446,03","3.462,91","3.446,03","","0,46%"
"29.05.2025","3.446,02","3.442,87","3.447,74","3.439,80","","0,09%"
"28.05.2025","3.442,87","3.438,22","3.444,22","3.438,22","","0,13%"
"27.05.2025","3.438,26","3.436,16","3.441,76","3.433,07","","0,06%"
"26.05.2025","3.436,16","3.440,32","3.446,11","3.434,21","","-0,12%"
"23.05.2025","3.440,31","3.436,99","3.444,50","3.432,23","","0,10%"
"22.05.2025","3.436,98","3.436,23","3.443,18","3.434,22","","0,02%"
"21.05.2025","3.436,24","3.437,19","3.444,08","3.432,25","","-0,03%"
"20.05.2025","3.437,16","3.435,23","3.439,97","3.433,47","","0,02%"
"19.05.2025","3.436,51","3.439,07","3.444,77","3.433,51","","-0,07%"
"16.05.2025","3.439,07","3.422,90","3.439,07","3.422,90","","0,47%"
"15.05.2025","3.422,90","3.405,97","3.423,47","3.405,97","","0,50%"
"14.05.2025","3.406,00","3.411,75","3.414,13","3.403,60","","-0,17%"
"13.05.2025","3.411,75","3.406,79","3.413,06","3.406,79","","0,15%"
"12.05.2025","3.406,81","3.407,90","3.414,98","3.401,31","","-0,03%"
"09.05.2025","3.407,91","3.389,80","3.408,87","3.389,80","","0,53%"
"08.05.2025","3.389,80","3.388,20","3.391,36","3.385,84","","0,05%"
"07.05.2025","3.388,20","3.385,72","3.393,85","3.381,80","","0,08%"
"06.05.2025","3.385,58","3.391,75","3.396,15","3.382,90","","-0,18%"
"05.05.2025","3.391,75","3.419,45","3.422,71","3.391,52","","-0,81%"
"02.05.2025","3.419,46","3.412,85","3.424,36","3.410,67","","0,20%"
"30.04.2025","3.412,71","3.401,38","3.418,29","3.401,38","","0,33%"
"29.04.2025","3.401,38","3.394,85","3.406,22","3.394,85","","0,19%"
"28.04.2025","3.394,85","3.391,14","3.399,76","3.391,09","","0,11%"
"25.04.2025","3.391,14","3.365,54","3.394,17","3.365,54","","0,76%"
"24.04.2025","3.365,54","3.360,22","3.365,54","3.358,37","","0,16%"
"23.04.2025","3.360,22","3.350,60","3.361,68","3.350,60","","0,29%"
"22.04.2025","3.350,60","3.333,31","3.354,10","3.333,31","","0,52%"
"17.04.2025","3.333,34","3.308,97","3.333,74","3.308,97","","0,74%"
"16.04.2025","3.308,92","3.292,47","3.312,68","3.292,47","","0,50%"
"15.04.2025","3.292,47","3.280,57","3.296,03","3.280,57","","0,36%"
"14.04.2025","3.280,55","3.257,67","3.283,87","3.257,67","","0,70%"
"11.04.2025","3.257,67","3.246,70","3.260,53","3.246,70","","0,34%"
"10.04.2025","3.246,64","3.246,52","3.258,99","3.239,65","","0,00%"
"09.04.2025","3.246,53","3.243,36","3.250,48","3.226,67","","0,10%"
"08.04.2025","3.243,36","3.253,69","3.268,45","3.241,01","","-0,32%"
"07.04.2025","3.253,69","3.279,86","3.279,88","3.230,99","","-0,80%"
"04.04.2025","3.279,91","3.305,11","3.309,53","3.273,53","","-0,76%"
"03.04.2025","3.305,07","3.309,45","3.315,50","3.301,04","","-0,13%"
"02.04.2025","3.309,45","3.311,47","3.318,29","3.302,31","","-0,06%"
"01.04.2025","3.311,48","3.313,10","3.321,97","3.309,88","","-0,05%"
"31.03.2025","3.313,09","3.301,83","3.314,97","3.301,83","","0,34%"
"28.03.2025","3.301,81","3.286,01","3.303,81","3.286,01","","0,48%"
"27.03.2025","3.286,00","3.272,50","3.287,14","3.272,50","","0,41%"
"26.03.2025","3.272,50","3.265,83","3.276,44","3.265,83","","0,20%"
"25.03.2025","3.265,83","3.261,21","3.271,80","3.261,21","","0,14%"
"24.03.2025","3.261,22","3.258,64","3.273,19","3.258,58","","0,08%"
"21.03.2025","3.258,64","3.259,03","3.270,28","3.258,64","","-0,01%"
"20.03.2025","3.259,03","3.255,59","3.265,17","3.255,59","","0,11%"
"19.03.2025","3.255,59","3.236,91","3.256,32","3.236,90","","0,58%"
"18.03.2025","3.236,94","3.220,10","3.239,00","3.219,73","","0,52%"
"17.03.2025","3.220,09","3.212,70","3.221,12","3.212,70","","0,23%"
"14.03.2025","3.212,67","3.188,43","3.213,86","3.188,43","","0,76%"
"13.03.2025","3.188,41","3.185,44","3.190,27","3.185,44","","0,09%"
"12.03.2025","3.185,44","3.174,13","3.188,31","3.174,13","","0,36%"
"11.03.2025","3.174,15","3.164,56","3.174,23","3.164,41","","0,30%"
"10.03.2025","3.164,67","3.160,99","3.167,15","3.160,91","","0,11%"
"07.03.2025","3.161,11","3.140,76","3.161,68","3.140,76","","0,65%"
"06.03.2025","3.140,77","3.122,10","3.141,09","3.122,10","","0,60%"
"05.03.2025","3.122,11","3.121,47","3.124,96","3.118,34","","0,02%"
"28.02.2025","3.121,48","3.115,51","3.133,39","3.115,51","","0,19%"
"27.02.2025","3.115,51","3.106,26","3.115,80","3.106,26","","0,30%"
"26.02.2025","3.106,26","3.118,17","3.128,35","3.106,22","","-0,38%"
"25.02.2025","3.118,17","3.113,56","3.125,01","3.113,56","","0,15%"
"24.02.2025","3.113,54","3.107,19","3.119,82","3.107,19","","0,21%"
"21.02.2025","3.107,14","3.075,41","3.107,14","3.075,41","","1,03%"
"20.02.2025","3.075,41","3.060,26","3.075,66","3.060,26","","0,50%"
"19.02.2025","3.060,26","3.060,51","3.069,01","3.058,73","","-0,01%"
"18.02.2025","3.060,51","3.044,67","3.063,59","3.044,67","","0,52%"
"17.02.2025","3.044,67","3.018,30","3.045,78","3.018,30","","0,87%"
"14.02.2025","3.018,35","2.998,01","3.018,35","2.998,01","","0,68%"
"13.02.2025","2.997,99","3.005,30","3.010,85","2.996,58","","-0,24%"
"12.02.2025","3.005,30","3.004,29","3.010,62","3.000,11","","0,03%"
"11.02.2025","3.004,30","3.004,58","3.010,79","3.003,49","","-0,01%"
"10.02.2025","3.004,58","3.007,49","3.012,92","3.002,70","","-0,10%"
"07.02.2025","3.007,49","2.995,68","3.008,98","2.995,68","","0,39%"
"06.02.2025","2.995,68","2.994,10","3.001,72","2.991,50","","0,05%"
"05.02.2025","2.994,08","3.000,00","3.007,88","2.991,04","","-0,20%"
"04.02.2025","3.000,00","3.001,41","3.011,27","2.997,45","","-0,05%"
"03.02.2025","3.001,50","3.020,63","3.021,09","2.998,49","","-0,63%"
"31.01.2025","3.020,63","2.996,66","3.024,04","2.996,66","","0,80%"
"30.01.2025","2.996,66","2.974,64","2.996,66","2.974,64","","0,74%"
"29.01.2025","2.974,65","2.974,55","2.984,40","2.971,43","0,00K","0,00%"
"28.01.2025","2.974,55","2.989,10","2.995,22","2.970,60","0,00K","-0,49%"
"27.01.2025","2.989,10","3.000,90","3.007,22","2.984,72","0,00K","-0,39%"
"24.01.2025","3.000,90","2.997,30","3.007,54","2.996,55","0,00K","0,12%"
"23.01.2025","2.997,38","3.010,63","3.020,68","2.996,99","0,00K","-0,44%"
"22.01.2025","3.010,63","3.018,70","3.028,11","3.008,63","0,00K","-0,27%"
"21.01.2025","3.018,70","3.038,81","3.044,99","3.018,53","0,00K","-0,66%"
"20.01.2025","3.038,88","3.041,67","3.050,73","3.034,79","0,00K","-0,09%"
"17.01.2025","3.041,67","3.084,09","3.084,13","3.028,60","0,00K","-1,38%"
"16.01.2025","3.084,10","3.090,79","3.098,34","3.083,20","0,00K","-0,22%"
"15.01.2025","3.090,78","3.065,32","3.090,78","3.065,32","0,00K","0,83%"
"14.01.2025","3.065,32","3.067,79","3.076,26","3.063,36","0,00K","-0,08%"
"13.01.2025","3.067,79","3.076,59","3.087,54","3.061,91","0,00K","-0,29%"
"10.01.2025","3.076,59","3.069,97","3.080,84","3.069,97","0,00K","0,22%"
"09.01.2025","3.069,97","3.085,52","3.095,03","3.065,96","0,00K","-0,50%"
"08.01.2025","3.085,52","3.114,84","3.121,95","3.084,12","0,00K","-0,94%"
"07.01.2025","3.114,84","3.118,93","3.126,41","3.110,07","0,00K","-0,13%"
"06.01.2025","3.118,93","3.116,72","3.130,28","3.103,35","0,00K","0,07%"
"03.01.2025","3.116,70","3.117,34","3.130,72","3.116,55","0,00K","-0,02%"
"02.01.2025","3.117,34","3.116,11","3.124,75","3.112,96","0,00K","0,03%"
"30.12.2024","3.116,28","3.112,77","3.139,70","3.112,77","0,00K","0,11%"
"27.12.2024","3.112,72","3.068,97","3.115,74","3.068,97","0,00K","1,43%"
"26.12.2024","3.068,92","3.020,61","3.071,87","3.020,61","0,00K","1,60%"
"23.12.2024","3.020,57","2.946,66","3.029,57","2.946,55","0,00K","2,51%"
"20.12.2024","2.946,66","2.878,39","2.965,01","2.878,36","0,00K","2,37%"
"19.12.2024","2.878,39","2.887,79","2.893,42","2.867,22","0,00K","-0,32%"
"18.12.2024","2.887,65","2.923,78","2.927,37","2.882,27","0,00K","-1,24%"
"17.12.2024","2.923,84","2.957,17","2.957,67","2.919,89","0,00K","-1,13%"
"16.12.2024","2.957,28","2.974,64","2.984,28","2.953,50","0,00K","-0,58%"
"13.12.2024","2.974,64","2.947,06","2.981,02","2.947,06","0,00K","0,94%"
"12.12.2024","2.947,07","2.947,01","2.953,50","2.938,25","0,00K","0,00%"
"11.12.2024","2.947,01","2.965,23","2.977,18","2.935,20","0,00K","-0,61%"
"10.12.2024","2.965,16","2.998,95","3.007,49","2.965,00","0,00K","-1,13%"
"09.12.2024","2.998,97","3.017,96","3.033,99","2.992,34","0,00K","-0,63%"
"06.12.2024","3.017,96","2.965,49","3.030,34","2.965,49","0,00K","1,77%"
"05.12.2024","2.965,49","3.023,38","3.023,48","2.958,11","0,00K","-1,92%"
"04.12.2024","3.023,45","3.072,12","3.076,52","3.017,36","0,00K","-1,58%"
"03.12.2024","3.072,12","3.103,42","3.108,57","3.069,07","0,00K","-1,01%"
"02.12.2024","3.103,42","3.137,28","3.146,68","3.101,23","0,00K","-1,08%"
"29.11.2024","3.137,33","3.138,60","3.147,96","3.130,62","0,00K","-0,04%"
"28.11.2024","3.138,55","3.171,35","3.175,16","3.138,34","0,00K","-1,03%"
"27.11.2024","3.171,36","3.184,14","3.191,13","3.168,85","0,00K","-0,40%"
"26.11.2024","3.184,15","3.181,41","3.191,26","3.181,41","0,00K","0,09%"
"25.11.2024","3.181,41","3.175,97","3.182,64","3.175,97","0,00K","0,17%"
"22.11.2024","3.175,86","3.161,97","3.178,06","3.161,97","0,00K","0,44%"
"21.11.2024","3.161,92","3.162,99","3.172,44","3.159,41","0,00K","-0,03%"
"19.11.2024","3.162,99","3.157,27","3.164,85","3.157,16","0,00K","0,18%"
"18.11.2024","3.157,25","3.151,39","3.161,80","3.151,39","0,00K","0,19%"
"14.11.2024","3.151,40","3.146,58","3.154,52","3.146,14","","0,15%"
"13.11.2024","3.146,58","3.154,70","3.159,99","3.139,89","","-0,26%"
"12.11.2024","3.154,66","3.168,10","3.174,85","3.154,25","","-0,42%"
"11.11.2024","3.168,10","3.195,85","3.198,44","3.167,99","","-0,87%"
"08.11.2024","3.195,85","3.184,30","3.196,25","3.183,20","","0,37%"
"07.11.2024","3.184,21","3.179,90","3.189,41","3.179,74","","0,14%"
"06.11.2024","3.179,90","3.187,53","3.188,84","3.179,56","","-0,24%"
"05.11.2024","3.187,61","3.187,19","3.194,23","3.183,34","","0,02%"
"04.11.2024","3.187,13","3.198,38","3.203,35","3.184,70","","-0,35%"
"01.11.2024","3.198,38","3.204,85","3.209,50","3.194,56","","-0,20%"
"31.10.2024","3.204,84","3.206,86","3.211,97","3.200,05","","-0,06%"
"30.10.2024","3.206,86","3.197,10","3.206,86","3.197,10","","0,31%"
"29.10.2024","3.197,08","3.189,83","3.199,83","3.189,70","","0,23%"
"28.10.2024","3.189,83","3.181,65","3.195,98","3.181,59","","0,26%"
"25.10.2024","3.181,65","3.169,03","3.183,99","3.168,98","","0,40%"
"24.10.2024","3.169,03","3.179,22","3.182,07","3.162,97","","-0,32%"
"23.10.2024","3.179,22","3.207,83","3.213,21","3.176,94","","-0,89%"
"22.10.2024","3.207,80","3.217,92","3.221,17","3.205,45","","-0,31%"
"21.10.2024","3.217,91","3.236,07","3.239,28","3.217,91","","-0,56%"
"18.10.2024","3.236,05","3.230,31","3.237,03","3.230,10","","0,18%"
"17.10.2024","3.230,34","3.233,66","3.237,83","3.229,69","","-0,10%"
"16.10.2024","3.233,65","3.233,72","3.241,04","3.230,78","","0,00%"
"15.10.2024","3.233,72","3.228,34","3.237,03","3.227,90","","0,17%"
"14.10.2024","3.228,39","3.216,82","3.230,08","3.216,74","","0,36%"
"11.10.2024","3.216,81","3.209,85","3.217,26","3.207,21","","0,22%"
"10.10.2024","3.209,87","3.232,13","3.234,93","3.208,02","","-0,69%"
"09.10.2024","3.232,13","3.256,99","3.259,60","3.228,51","","-0,76%"
"08.10.2024","3.256,99","3.275,80","3.280,13","3.256,07","","-0,57%"
"07.10.2024","3.275,80","3.276,30","3.280,76","3.271,73","","-0,02%"
"04.10.2024","3.276,30","3.271,60","3.277,30","3.271,47","","0,14%"
"03.10.2024","3.271,60","3.278,88","3.280,07","3.268,86","","-0,22%"
"02.10.2024","3.278,86","3.278,30","3.284,93","3.276,96","","0,02%"
"01.10.2024","3.278,30","3.305,98","3.309,66","3.276,81","","-0,84%"
"30.09.2024","3.305,97","3.309,14","3.315,26","3.305,08","","-0,10%"
"27.09.2024","3.309,13","3.294,21","3.311,82","3.294,21","","0,46%"
"26.09.2024","3.294,14","3.293,72","3.295,79","3.290,99","","0,01%"
"25.09.2024","3.293,73","3.303,53","3.307,08","3.291,26","","-0,30%"
"24.09.2024","3.303,53","3.311,97","3.314,72","3.300,46","","-0,25%"
"23.09.2024","3.311,97","3.333,57","3.333,74","3.309,43","","-0,65%"
"20.09.2024","3.333,57","3.340,62","3.345,39","3.332,42","","-0,21%"
"19.09.2024","3.340,62","3.350,15","3.352,02","3.339,08","","-0,28%"
"18.09.2024","3.350,15","3.353,66","3.357,45","3.347,84","","-0,10%"
"17.09.2024","3.353,66","3.360,75","3.363,42","3.351,54","","-0,21%"
"16.09.2024","3.360,72","3.364,30","3.367,55","3.358,85","","-0,11%"
"13.09.2024","3.364,30","3.358,49","3.368,01","3.358,49","","0,17%"
"12.09.2024","3.358,49","3.367,28","3.369,98","3.356,24","","-0,26%"
"11.09.2024","3.367,28","3.371,92","3.376,40","3.365,55","","-0,14%"
"10.09.2024","3.371,90","3.382,23","3.385,31","3.369,80","","-0,31%"
"09.09.2024","3.382,23","3.386,57","3.390,33","3.379,21","","-0,13%"
"06.09.2024","3.386,56","3.382,37","3.389,35","3.382,34","","0,12%"
"05.09.2024","3.382,37","3.385,35","3.388,44","3.380,84","","-0,09%"
"04.09.2024","3.385,35","3.383,74","3.388,44","3.382,82","","0,05%"
"03.09.2024","3.383,71","3.389,32","3.394,52","3.383,42","","-0,17%"
"02.09.2024","3.389,32","3.393,55","3.396,84","3.385,22","","-0,12%"
"30.08.2024","3.393,55","3.385,90","3.396,13","3.385,90","","0,23%"
"29.08.2024","3.385,87","3.381,70","3.387,12","3.381,70","","0,12%"
"28.08.2024","3.381,68","3.383,92","3.388,24","3.381,68","","-0,07%"
"27.08.2024","3.383,92","3.386,90","3.392,37","3.383,44","","-0,09%"
"26.08.2024","3.386,89","3.388,44","3.391,01","3.386,23","","-0,05%"
"23.08.2024","3.388,44","3.378,66","3.390,07","3.378,60","","0,29%"
"22.08.2024","3.378,64","3.381,83","3.384,64","3.376,17","","-0,09%"
"21.08.2024","3.381,82","3.382,51","3.386,33","3.379,67","","-0,02%"
"20.08.2024","3.382,52","3.382,03","3.387,88","3.380,35","","0,01%"
"19.08.2024","3.382,02","3.385,48","3.388,43","3.381,56","","-0,10%"
"16.08.2024","3.385,46","3.374,01","3.385,46","3.374,01","","0,34%"
"15.08.2024","3.374,02","3.363,11","3.374,99","3.363,05","","0,32%"
"14.08.2024","3.363,10","3.355,22","3.363,10","3.355,12","","0,24%"
"13.08.2024","3.355,20","3.352,28","3.358,63","3.352,28","","0,09%"
"12.08.2024","3.352,25","3.349,98","3.354,69","3.349,81","","0,07%"
"09.08.2024","3.349,97","3.345,07","3.352,30","3.345,07","","0,15%"
"08.08.2024","3.345,06","3.349,31","3.353,65","3.343,89","","-0,13%"
"07.08.2024","3.349,29","3.347,44","3.354,94","3.346,27","","0,06%"
"06.08.2024","3.347,44","3.352,64","3.360,93","3.345,22","","-0,16%"
"05.08.2024","3.352,64","3.368,95","3.368,95","3.336,77","","-0,48%"
"02.08.2024","3.368,97","3.365,60","3.373,72","3.365,60","","0,10%"
"01.08.2024","3.365,60","3.364,78","3.370,02","3.361,59","","0,02%"
"31.07.2024","3.364,78","3.358,40","3.367,95","3.358,40","","0,19%"
"30.07.2024","3.358,40","3.353,36","3.361,55","3.353,36","","0,15%"
"29.07.2024","3.353,38","3.375,83","3.380,45","3.353,38","","-0,67%"
"26.07.2024","3.375,85","3.375,00","3.382,02","3.374,71","","0,03%"
"25.07.2024","3.375,00","3.381,53","3.386,81","3.372,14","","-0,19%"
"24.07.2024","3.381,51","3.386,19","3.386,66","3.377,79","","-0,14%"
"23.07.2024","3.386,19","3.391,00","3.393,14","3.386,19","","-0,14%"
"22.07.2024","3.390,99","3.391,74","3.396,28","3.388,57","","-0,02%"
"19.07.2024","3.391,72","3.382,66","3.393,46","3.382,66","","0,27%"
"18.07.2024","3.382,64","3.388,16","3.390,96","3.382,64","","-0,16%"
"17.07.2024","3.388,10","3.382,99","3.388,46","3.382,99","","0,15%"
"16.07.2024","3.382,99","3.375,26","3.384,46","3.375,26","","0,23%"
"15.07.2024","3.375,26","3.370,07","3.376,45","3.370,07","","0,15%"
"12.07.2024","3.370,07","3.350,64","3.371,63","3.350,64","","0,58%"
"11.07.2024","3.350,64","3.349,04","3.357,26","3.348,99","","0,05%"
"10.07.2024","3.349,04","3.349,17","3.356,15","3.345,59","","0,00%"
"09.07.2024","3.349,16","3.347,35","3.351,27","3.344,60","","0,05%"
"08.07.2024","3.347,36","3.341,64","3.352,27","3.341,64","","0,17%"
"05.07.2024","3.341,64","3.323,70","3.343,22","3.323,70","","0,54%"
"04.07.2024","3.323,67","3.302,82","3.323,67","3.302,82","","0,63%"
"03.07.2024","3.302,82","3.305,51","3.309,23","3.300,80","","-0,08%"
"02.07.2024","3.305,51","3.318,82","3.321,13","3.303,03","","-0,40%"
"01.07.2024","3.318,84","3.347,36","3.349,80","3.318,07","","-0,85%"
"28.06.2024","3.347,33","3.328,13","3.348,55","3.328,13","","0,58%"
"27.06.2024","3.328,12","3.311,03","3.328,22","3.311,03","","0,52%"
"26.06.2024","3.311,05","3.301,24","3.313,16","3.301,24","","0,30%"
"25.06.2024","3.301,23","3.296,23","3.302,17","3.296,21","0,00K","0,15%"
"24.06.2024","3.296,23","3.299,42","3.305,06","3.294,68","0,00K","-0,10%"
"21.06.2024","3.299,38","3.301,54","3.309,66","3.298,48","","-0,06%"
"20.06.2024","3.301,49","3.300,20","3.306,61","3.296,86","0,00K","0,04%"
"19.06.2024","3.300,19","3.301,41","3.306,33","3.299,04","0,00K","-0,04%"
"18.06.2024","3.301,41","3.305,95","3.309,44","3.299,59","0,00K","-0,14%"
"17.06.2024","3.305,93","3.312,59","3.315,57","3.303,65","0,00K","-0,20%"
"14.06.2024","3.312,59","3.295,71","3.313,69","3.295,61","0,00K","0,51%"
"13.06.2024","3.295,71","3.320,44","3.322,02","3.295,23","0,00K","-0,74%"
"12.06.2024","3.320,42","3.334,99","3.339,29","3.318,34","0,00K","-0,44%"
"11.06.2024","3.334,98","3.345,24","3.349,55","3.333,45","0,00K","-0,31%"
"10.06.2024","3.345,21","3.358,85","3.360,02","3.344,91","0,00K","-0,41%"
"07.06.2024","3.358,85","3.358,90","3.361,27","3.355,63","","0,00%"
"06.06.2024","3.358,89","3.356,08","3.363,26","3.354,35","","0,08%"
"05.06.2024","3.356,08","3.364,02","3.368,54","3.354,10","","-0,24%"
"04.06.2024","3.364,04","3.371,58","3.374,44","3.363,08","","-0,22%"
"03.06.2024","3.371,58","3.382,34","3.385,03","3.370,57","","-0,32%"
"31.05.2024","3.382,34","3.371,10","3.383,82","3.370,83","","0,33%"
"29.05.2024","3.371,11","3.363,65","3.371,39","3.363,65","","0,22%"
"28.05.2024","3.363,68","3.374,83","3.376,23","3.361,61","","-0,33%"
"27.05.2024","3.374,83","3.379,05","3.381,02","3.372,91","","-0,12%"
"24.05.2024","3.379,01","3.374,75","3.382,25","3.374,75","","0,13%"
"23.05.2024","3.374,75","3.383,73","3.384,55","3.373,48","","-0,27%"
"22.05.2024","3.383,74","3.386,75","3.388,95","3.379,86","","-0,09%"
"21.05.2024","3.386,75","3.391,27","3.391,76","3.383,47","","-0,13%"
"20.05.2024","3.391,26","3.392,31","3.393,75","3.388,92","","-0,03%"
"17.05.2024","3.392,31","3.379,55","3.392,46","3.379,55","","0,38%"
"16.05.2024","3.379,54","3.372,59","3.381,41","3.372,59","","0,21%"
"15.05.2024","3.372,59","3.367,73","3.375,59","3.367,73","","0,14%"
"14.05.2024","3.367,72","3.376,50","3.383,07","3.367,35","","-0,26%"
"13.05.2024","3.376,50","3.397,79","3.397,79","3.374,87","","-0,63%"
"10.05.2024","3.397,79","3.389,27","3.398,25","3.389,27","","0,25%"
"09.05.2024","3.389,27","3.398,11","3.399,32","3.388,54","","-0,26%"
"08.05.2024","3.398,10","3.394,55","3.398,66","3.392,74","","0,11%"
"07.05.2024","3.394,53","3.392,61","3.395,84","3.390,42","","0,06%"
"06.05.2024","3.392,61","3.391,61","3.393,11","3.388,62","","0,03%"
"03.05.2024","3.391,61","3.376,40","3.392,94","3.376,40","","0,45%"
"02.05.2024","3.376,40","3.381,79","3.387,01","3.372,94","","-0,16%"
"30.04.2024","3.381,79","3.374,93","3.382,49","3.374,93","","0,20%"
"29.04.2024","3.374,93","3.366,74","3.374,93","3.364,97","","0,24%"
"26.04.2024","3.366,74","3.360,86","3.372,32","3.360,86","","0,17%"
"25.04.2024","3.360,86","3.365,41","3.367,04","3.359,49","","-0,14%"
"24.04.2024","3.365,41","3.373,25","3.375,50","3.363,71","","-0,23%"
"23.04.2024","3.373,24","3.380,00","3.382,92","3.370,20","","-0,20%"
"22.04.2024","3.380,00","3.391,17","3.391,20","3.379,64","","-0,33%"
"19.04.2024","3.391,17","3.386,79","3.392,50","3.383,43","","0,13%"
"18.04.2024","3.386,78","3.391,31","3.394,10","3.382,27","","-0,13%"
"17.04.2024","3.391,31","3.402,58","3.405,05","3.390,80","","-0,33%"
"16.04.2024","3.402,52","3.412,68","3.415,12","3.398,17","","-0,30%"
"15.04.2024","3.412,68","3.423,95","3.424,26","3.412,68","","-0,33%"
"12.04.2024","3.423,95","3.417,57","3.426,52","3.417,57","","0,19%"
"11.04.2024","3.417,57","3.418,45","3.420,82","3.415,41","","-0,03%"
"10.04.2024","3.418,43","3.420,76","3.424,13","3.415,75","","-0,07%"
"09.04.2024","3.420,76","3.421,87","3.423,72","3.420,76","","-0,03%"
"08.04.2024","3.421,87","3.422,03","3.424,04","3.417,52","","-0,01%"
"05.04.2024","3.422,18","3.414,28","3.422,36","3.414,28","","0,23%"
"04.04.2024","3.414,28","3.412,02","3.415,44","3.411,22","","0,07%"
"03.04.2024","3.412,02","3.406,58","3.414,50","3.406,58","","0,16%"
"02.04.2024","3.406,57","3.403,40","3.411,04","3.403,06","","0,09%"
"01.04.2024","3.403,41","3.408,16","3.411,29","3.398,66","","-0,14%"
"28.03.2024","3.408,15","3.395,41","3.409,45","3.395,41","","0,38%"
"27.03.2024","3.395,41","3.392,24","3.397,61","3.392,24","","0,09%"
"26.03.2024","3.392,25","3.390,05","3.395,00","3.390,05","","0,06%"
"25.03.2024","3.390,05","3.393,17","3.394,00","3.389,16","","-0,09%"
"22.03.2024","3.393,14","3.381,26","3.393,23","3.381,26","","0,35%"
"21.03.2024","3.381,26","3.378,24","3.382,45","3.377,38","","0,09%"
"20.03.2024","3.378,25","3.373,66","3.379,39","3.373,66","","0,14%"
"19.03.2024","3.373,64","3.374,00","3.381,08","3.371,43","","-0,01%"
"18.03.2024","3.374,01","3.367,03","3.378,13","3.367,03","","0,21%"
"15.03.2024","3.367,01","3.365,68","3.381,82","3.365,68","","0,04%"
"14.03.2024","3.365,68","3.367,43","3.368,72","3.363,35","","-0,05%"
"13.03.2024","3.367,44","3.368,77","3.372,88","3.366,15","","-0,04%"
"12.03.2024","3.368,76","3.374,47","3.376,78","3.367,57","","-0,17%"
"11.03.2024","3.374,45","3.382,28","3.382,82","3.371,55","","-0,23%"
"08.03.2024","3.382,28","3.371,76","3.383,66","3.371,76","","0,31%"
"07.03.2024","3.371,76","3.365,20","3.372,40","3.365,20","","0,20%"
